Text,Tokenized,Cleaned_Tokens,Cleaned_Text,Sentiment
giving thanks dr ogoh something always take personal brought back full health 2 years surfing cancer disease,"['giving', 'thanks', 'dr', 'ogoh', 'something', 'always', 'take', 'personal', 'brought', 'back', 'full', 'health', 'years', 'surfing', 'cancer', 'disease']","['giving', 'thank', 'ogoh', 'something', 'alway', 'take', 'personal', 'brought', 'back', 'full', 'health', 'year', 'cancer', 'disease']",giving thank ogoh something alway take personal brought back full health year cancer disease,2
best wishes pakistan get well soooon,"['best', 'wishes', 'pakistan', 'get', 'well', 'soooon']","['best', 'wishe', 'get', 'well']",best wishe get well,3
needles painful radiotherapy chemo hope technology improves causes patients pain side effects,"['needles', 'painful', 'radiotherapy', 'chemo', 'hope', 'technology', 'improves', 'causes', 'patients', 'pain', 'side', 'effects']","['painful', 'chemo', 'hope', 'cause', 'patient', 'pain', 'sid', 'effects']",painful chemo hope cause patient pain sid effects,4
thank drohanon helping get rid cancer disease,"['thank', 'drohanon', 'helping', 'get', 'rid', 'cancer', 'disease']","['thank', 'helping', 'get', 'rid', 'cancer', 'disease']",thank helping get rid cancer disease,1
going chemo right breast cancer fun got first last week still feeling effects weakness tiredness mouth sores stomach cramps hair fallen yet next treatment,"['going', 'chemo', 'right', 'breast', 'cancer', 'fun', 'got', 'first', 'last', 'week', 'still', 'feeling', 'effects', 'weakness', 'tiredness', 'mouth', 'sores', 'stomach', 'cramps', 'hair', 'fallen', 'yet', 'next', 'treatment']","['going', 'chemo', 'right', 'breast', 'cancer', 'fun', 'got', 'first', 'last', 'week', 'still', 'feeling', 'mouth', 'sore', 'stomach', 'hair', 'yet', 'next', 'treatment']",going chemo right breast cancer fun got first last week still feeling mouth sore stomach hair yet next treatment,2
hurt bad look brother went thing going even know cancer late stage 4 cancer went doctor said breathe went doctor thought pneumonia test found cancer stage 4 tried treatments radiation laser therapy none work late died july year 2022 hate bad never thought would happen family fought way end lost never forgotten love big bro,"['hurt', 'bad', 'look', 'brother', 'went', 'thing', 'going', 'even', 'know', 'cancer', 'late', 'stage', 'cancer', 'went', 'doctor', 'said', 'breathe', 'went', 'doctor', 'thought', 'pneumonia', 'test', 'found', 'cancer', 'stage', 'tried', 'treatments', 'radiation', 'laser', 'therapy', 'none', 'work', 'late', 'died', 'july', 'year', '2022', 'hate', 'bad', 'never', 'thought', 'would', 'happen', 'family', 'fought', 'way', 'end', 'lost', 'never', 'forgotten', 'love', 'big', 'bro']","['hurt', 'bad', 'look', 'brother', 'went', 'thing', 'going', 'even', 'know', 'cancer', 'late', 'stage', 'cancer', 'went', 'doctor', 'said', 'wer', 'doctor', 'thought', 'test', 'found', 'cancer', 'stage', 'tried', 'treatment', 'radiation', 'therapy', 'work', 'late', 'died', 'july', 'year', '2022', 'bad', 'never', 'thought', 'would', 'happen', 'family', 'way', 'end', 'lost', 'never', 'lover', 'big']",hurt bad look brother went thing going even know cancer late stage cancer went doctor said wer doctor thought test found cancer stage tried treatment radiation therapy work late died july year 2022 bad never thought would happen family way end lost never lover big,0
sănătate scumpo,"['sănătate', 'scumpo']",[],,1
texas usa thank dr ohanon good works girlfriend suffering cancer disease years met wonderful man youtube us cancer free,"['texas', 'usa', 'thank', 'dr', 'ohanon', 'good', 'works', 'girlfriend', 'suffering', 'cancer', 'disease', 'years', 'met', 'wonderful', 'man', 'youtube', 'us', 'cancer', 'free']","['thank', 'good', 'work', 'suffering', 'cancer', 'disease', 'year', 'mettre', 'wonderful', 'man', 'youtub', 'cancer', 'free']",thank good work suffering cancer disease year mettre wonderful man youtub cancer free,3
got married 2 months ago pregnant twins 12weeks found got aggressive cancer going chemo like every pain feels go still believe makes cry least day feel nobody tells chemo change whole personality time scary sad,"['got', 'married', 'months', 'ago', 'pregnant', 'twins', '12weeks', 'found', 'got', 'aggressive', 'cancer', 'going', 'chemo', 'like', 'every', 'pain', 'feels', 'go', 'still', 'believe', 'makes', 'cry', 'least', 'day', 'feel', 'nobody', 'tells', 'chemo', 'change', 'whole', 'personality', 'time', 'scary', 'sad']","['got', 'month', 'ago', 'twin', 'found', 'got', 'cancer', 'going', 'chemo', 'like', 'every', 'pain', 'feel', 'still', 'believ', 'make', 'cry', 'least', 'day', 'feel', 'tell', 'chemo', 'change', 'whol', 'tim', 'scary', 'sad']",got month ago twin found got cancer going chemo like every pain feel still believ make cry least day feel tell chemo change whol tim scary sad,0
hi might chemo soon may ask chemo feel throw right away,"['hi', 'might', 'chemo', 'soon', 'may', 'ask', 'chemo', 'feel', 'throw', 'right', 'away']","['chemo', 'soon', 'may', 'ask', 'chemo', 'feel', 'right', 'away']",chemo soon may ask chemo feel right away,2
praying seeing first time may jehovah god bless comfort eliminate pain proclaiming full complete healing god bless family,"['praying', 'seeing', 'first', 'time', 'may', 'jehovah', 'god', 'bless', 'comfort', 'eliminate', 'pain', 'proclaiming', 'full', 'complete', 'healing', 'god', 'bless', 'family']","['praying', 'seeing', 'first', 'tim', 'may', 'god', 'bles', 'comfort', 'pain', 'full', 'complete', 'healing', 'god', 'bles', 'family']",praying seeing first tim may god bles comfort pain full complete healing god bles family,2
take care always god bless,"['take', 'care', 'always', 'god', 'bless']","['take', 'care', 'always', 'god', 'bles']",take care always god bles,1
kids sad think cancer patient feel suffer life painful journey emotional physical,"['kids', 'sad', 'think', 'cancer', 'patient', 'feel', 'suffer', 'life', 'painful', 'journey', 'emotional', 'physical']","['kid', 'sad', 'think', 'cancer', 'patient', 'feel', 'life', 'painful', 'journey']",kid sad think cancer patient feel life painful journey,0
wear wig see cooking scalp used treatment,"['wear', 'wig', 'see', 'cooking', 'scalp', 'used', 'treatment']","['wear', 'wig', 'see', 'used', 'treatment']",wear wig see used treatment,1
take 90 supplements chemotherapy makeing people get cancer choice decision pray name jesus get strong mighty name jesus,"['take', '90', 'supplements', 'chemotherapy', 'makeing', 'people', 'get', 'cancer', 'choice', 'decision', 'pray', 'name', 'jesus', 'get', 'strong', 'mighty', 'name', 'jesus']","['tak', 'supplement', 'chemotherapy', 'people', 'get', 'cancer', 'pray', 'name', 'jesu', 'get', 'strong', 'name', 'jesu']",tak supplement chemotherapy people get cancer pray name jesu get strong name jesu,2
7 year old going weekly 52 possibly 70 weeks thank god least working hard standing go,"['year', 'old', 'going', 'weekly', '52', 'possibly', '70', 'weeks', 'thank', 'god', 'least', 'working', 'hard', 'standing', 'go']","['year', 'old', 'going', 'weeks', 'thank', 'god', 'least', 'working', 'hard']",year old going weeks thank god least working hard,0
even young facing chemo suffering imagine mom age 73 goes several chemo breaks heart see dying away rejecting chemo session consoled depressed accept death peace body may breaks spirit eternal,"['even', 'young', 'facing', 'chemo', 'suffering', 'imagine', 'mom', 'age', '73', 'goes', 'several', 'chemo', 'breaks', 'heart', 'see', 'dying', 'away', 'rejecting', 'chemo', 'session', 'consoled', 'depressed', 'accept', 'death', 'peace', 'body', 'may', 'breaks', 'spirit', 'eternal']","['even', 'young', 'chemo', 'suffering', 'imagine', 'mom', 'age', 'goe', 'chemo', 'break', 'heart', 'see', 'away', 'chemo', 'accept', 'death', 'peac', 'body', 'may', 'break', 'spirit']",even young chemo suffering imagine mom age goe chemo break heart see away chemo accept death peac body may break spirit,1
ti voglio bene,"['ti', 'voglio', 'bene']",[],,1
2 2 million views average 5 views per video lol,"['million', 'views', 'average', 'views', 'per', 'video', 'lol']","['per', 'video', 'lol']",per video lol,3
got girl strong,"['got', 'girl', 'strong']","['got', 'girl', 'strong']",got girl strong,2
young lady brave sending hugs kisses,"['young', 'lady', 'brave', 'sending', 'hugs', 'kisses']","['young', 'lady', 'brave', 'sending', 'hug']",young lady brave sending hug,2
technoblade never dies,"['technoblade', 'never', 'dies']","['never', 'die']",never die,1
happy thanksgiving praying sending love prayers,"['happy', 'thanksgiving', 'praying', 'sending', 'love', 'prayers']","['happy', 'praying', 'sending', 'lover', 'prayer']",happy praying sending lover prayer,3
type cristina sanchez cannabis cancer research research research,"['type', 'cristina', 'sanchez', 'cannabis', 'cancer', 'research', 'research', 'research']","['type', 'cancer', 'research', 'research', 'research']",type cancer research research research,1
happy see loving husband cares beside may god bless happy long life,"['happy', 'see', 'loving', 'husband', 'cares', 'beside', 'may', 'god', 'bless', 'happy', 'long', 'life']","['happy', 'see', 'loving', 'husband', 'care', 'may', 'god', 'bles', 'happy', 'long', 'life']",happy see loving husband care may god bles happy long life,2
ive iv know feeling,"['ive', 'iv', 'know', 'feeling']","['know', 'feeling']",know feeling,1
sending positive vibes strong,"['sending', 'positive', 'vibes', 'strong']","['sending', 'positif', 'vibe', 'strong']",sending positif vibe strong,2
also cml blood cancer jesus christ great prise lord,"['also', 'cml', 'blood', 'cancer', 'jesus', 'christ', 'great', 'prise', 'lord']","['also', 'blood', 'cancer', 'jesu', 'christ', 'great', 'lord']",also blood cancer jesu christ great lord,3
chemo makes sicker go slowly say smoking wees watching weeds,"['chemo', 'makes', 'sicker', 'go', 'slowly', 'say', 'smoking', 'wees', 'watching', 'weeds']","['chemo', 'make', 'say', 'smoking', 'watching']",chemo make say smoking watching,1
mum rchop doxarubicin gross stuff also knows mean taste saline hope well,"['mum', 'rchop', 'doxarubicin', 'gross', 'stuff', 'also', 'knows', 'mean', 'taste', 'saline', 'hope', 'well']","['mum', 'stuff', 'also', 'know', 'mean', 'tast', 'salin', 'hop', 'well']",mum stuff also know mean tast salin hop well,0
challenging time appreciate much dr ogoh created life thought lost thank much curing cancer disease,"['challenging', 'time', 'appreciate', 'much', 'dr', 'ogoh', 'created', 'life', 'thought', 'lost', 'thank', 'much', 'curing', 'cancer', 'disease']","['time', 'appreciate', 'much', 'ogoh', 'life', 'thought', 'lost', 'thank', 'much', 'curing', 'cancer', 'disease']",time appreciate much ogoh life thought lost thank much curing cancer disease,2
couple triplets,"['couple', 'triplets']",['coupl'],coupl,1
red devil use call taxotere red chemo med infused peeing red orange hrs also med turned pee blue green 8 months chemo 35 radiation treatments cancer free 15 yrs thank goodness,"['red', 'devil', 'use', 'call', 'taxotere', 'red', 'chemo', 'med', 'infused', 'peeing', 'red', 'orange', 'hrs', 'also', 'med', 'turned', 'pee', 'blue', 'green', 'months', 'chemo', '35', 'radiation', 'treatments', 'cancer', 'free', '15', 'yrs', 'thank', 'goodness']","['red', 'devil', 'call', 'red', 'chemo', 'med', 'infused', 'red', 'also', 'med', 'month', 'chemo', 'radiation', 'treatment', 'cancer', 'free', 'thank', 'goodnes']",red devil call red chemo med infused red also med month chemo radiation treatment cancer free thank goodnes,1
go girl,"['go', 'girl']",['girl'],girl,1
new ideas brings hope stop chemo use left kingship fight newly punished lulu author kevin anaekwe,"['new', 'ideas', 'brings', 'hope', 'stop', 'chemo', 'use', 'left', 'kingship', 'fight', 'newly', 'punished', 'lulu', 'author', 'kevin', 'anaekwe']","['new', 'idea', 'bring', 'hop', 'stop', 'chemo', 'left', 'fight']",new idea bring hop stop chemo left fight,1
oh pretty delia strong,"['oh', 'pretty', 'delia', 'strong']","['pretty', 'delia', 'strong']",pretty delia strong,2
boo gonna make sure everything new imma put brand new coop,"['boo', 'gonna', 'make', 'sure', 'everything', 'new', 'imma', 'put', 'brand', 'new', 'coop']","['gonna', 'make', 'sur', 'everything', 'new', 'pouvoir', 'new']",gonna make sur everything new pouvoir new,2
great husband iron man one angel,"['great', 'husband', 'iron', 'man', 'one', 'angel']","['great', 'husband', 'man', 'one', 'angel']",great husband man one angel,3
speak english subirles please,"['speak', 'english', 'subirles', 'please']","['speak', 'please']",speak please,1
always get gauze tape bandaids tear skin,"['always', 'get', 'gauze', 'tape', 'bandaids', 'tear', 'skin']","['alway', 'get', 'tear']",alway get tear,1
also got chemotherapy infusion coincidence also cancer time 2021 time 15 years old indian,"['also', 'got', 'chemotherapy', 'infusion', 'coincidence', 'also', 'cancer', 'time', '2021', 'time', '15', 'years', 'old', 'indian']","['also', 'got', 'chemotherapy', 'infusion', 'also', 'cancer', 'tim', '2021', 'time', 'year', 'old']",also got chemotherapy infusion also cancer tim 2021 time year old,1
dad lungcancer 22 years ago 6 chemotrratments right lung removed survived tough ride worth taking evryone pulls know help sure good luck everyone go,"['dad', 'lungcancer', '22', 'years', 'ago', 'chemotrratments', 'right', 'lung', 'removed', 'survived', 'tough', 'ride', 'worth', 'taking', 'evryone', 'pulls', 'know', 'help', 'sure', 'good', 'luck', 'everyone', 'go']","['dad', 'year', 'ago', 'right', 'lung', 'removed', 'tough', 'worth', 'taking', 'know', 'help', 'sur', 'good', 'luck', 'everyone']",dad year ago right lung removed tough worth taking know help sur good luck everyone,2
dr dagba youtube gave cure used cancer living better really appreciate drdagba,"['dr', 'dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']","['youtub', 'gav', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciat']",youtub gav cure used cancer living better really appreciat,2
dr dagba youtube gave cure used cancer living better really appreciate drdagba,"['dr', 'dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']","['youtub', 'gav', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciat']",youtub gav cure used cancer living better really appreciat,2
12 58 hello im spare account cant go without saying dexamethasone steroid iv took covid great,"['12', '58', 'hello', 'im', 'spare', 'account', 'cant', 'go', 'without', 'saying', 'dexamethasone', 'steroid', 'iv', 'took', 'covid', 'great']","['hello', 'without', 'saying', 'steroid', 'took', 'covid', 'great']",hello without saying steroid took covid great,3
love every cancer patients get well soon god bless proud,"['love', 'every', 'cancer', 'patients', 'get', 'well', 'soon', 'god', 'bless', 'proud']","['lover', 'every', 'cancer', 'patient', 'get', 'well', 'soon', 'god', 'bles', 'proud']",lover every cancer patient get well soon god bles proud,3
glad great support system looking great 14 years cancer free aggressive one lymph node left arm,"['glad', 'great', 'support', 'system', 'looking', 'great', '14', 'years', 'cancer', 'free', 'aggressive', 'one', 'lymph', 'node', 'left', 'arm']","['glad', 'great', 'support', 'system', 'looking', 'great', 'year', 'cancer', 'free', 'one', 'lymph', 'node', 'left', 'arm']",glad great support system looking great year cancer free one lymph node left arm,2
hated would flush port could taste alcohol,"['hated', 'would', 'flush', 'port', 'could', 'taste', 'alcohol']","['would', 'flush', 'port', 'could', 'tast', 'alcohol']",would flush port could tast alcohol,1
cant understand people dont listen jesus happy heatly,"['cant', 'understand', 'people', 'dont', 'listen', 'jesus', 'happy', 'heatly']","['understand', 'people', 'dont', 'listen', 'jesu', 'happy']",understand people dont listen jesu happy,3
tego nikt nie przewidzi każdy dzień należy boga,"['tego', 'nikt', 'nie', 'przewidzi', 'każdy', 'dzień', 'należy', 'boga']",[],,1
jesus sister faith,"['jesus', 'sister', 'faith']","['jesu', 'sister', 'faith']",jesu sister faith,1
thanks dr harry herbs got youtube using time treat help get rid cancer herbs medicine got great meet dr harry herbs youtube keep great work lord god giving save life,"['thanks', 'dr', 'harry', 'herbs', 'got', 'youtube', 'using', 'time', 'treat', 'help', 'get', 'rid', 'cancer', 'herbs', 'medicine', 'got', 'great', 'meet', 'dr', 'harry', 'herbs', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']","['thank', 'harry', 'herb', 'got', 'youtube', 'using', 'time', 'help', 'get', 'rid', 'cancer', 'herb', 'medicin', 'got', 'great', 'meet', 'harry', 'herb', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'sav', 'lif']",thank harry herb got youtube using time help get rid cancer herb medicin got great meet harry herb youtube keep great work lord god giving sav lif,3
bill forget humans full territory nations test global health hospital years sauved millions milliard humans result 2 catégory global search test hospital 1 humans great healthy need healing 2 humans great healthy need heelings forget test global health hospital 1 years sauved millions milliard deaths,"['bill', 'forget', 'humans', 'full', 'territory', 'nations', 'test', 'global', 'health', 'hospital', 'years', 'sauved', 'millions', 'milliard', 'humans', 'result', 'catégory', 'global', 'search', 'test', 'hospital', 'humans', 'great', 'healthy', 'need', 'healing', 'humans', 'great', 'healthy', 'need', 'heelings', 'forget', 'test', 'global', 'health', 'hospital', 'years', 'sauved', 'millions', 'milliard', 'deaths']","['forget', 'humans', 'full', 'test', 'health', 'hospital', 'year', 'humans', 'result', 'test', 'hospital', 'humans', 'great', 'healthy', 'need', 'healing', 'humans', 'great', 'healthy', 'need', 'forget', 'test', 'health', 'hospital', 'year', 'death']",forget humans full test health hospital year humans result test hospital humans great healthy need healing humans great healthy need forget test health hospital year death,2
bill great retablissements cancers people earth lost much members familly life connaissances deaths manqued forget éternity like appréciate love peoples familly life conaissances life manqued heat dead loved deaths impossible watch listen regret speak watch deaths loved,"['bill', 'great', 'retablissements', 'cancers', 'people', 'earth', 'lost', 'much', 'members', 'familly', 'life', 'connaissances', 'deaths', 'manqued', 'forget', 'éternity', 'like', 'appréciate', 'love', 'peoples', 'familly', 'life', 'conaissances', 'life', 'manqued', 'heat', 'dead', 'loved', 'deaths', 'impossible', 'watch', 'listen', 'regret', 'speak', 'watch', 'deaths', 'loved']","['great', 'cancer', 'people', 'lost', 'much', 'member', 'life', 'death', 'forget', 'like', 'lover', 'people', 'lif', 'life', 'dead', 'loved', 'death', 'watch', 'listen', 'speak', 'watch', 'death', 'loved']",great cancer people lost much member life death forget like lover people lif life dead loved death watch listen speak watch death loved,2
10 shots build white blood cells dr ordered shot 7 000 00 expensive thankfully medical insurance covered never use though nurse told day last chemo people afford shots really needed expensive since god let live cancer also let live cancer 5 years old came hospital igloo ice packs next day driving hour half donated shots ever needed shots came cold box refridgerated times safety seal drs break seals sitting fridge 6 mos chemo something give back help others lucky enough get shots free wanted help others fight girl got,"['10', 'shots', 'build', 'white', 'blood', 'cells', 'dr', 'ordered', 'shot', '000', '00', 'expensive', 'thankfully', 'medical', 'insurance', 'covered', 'never', 'use', 'though', 'nurse', 'told', 'day', 'last', 'chemo', 'people', 'afford', 'shots', 'really', 'needed', 'expensive', 'since', 'god', 'let', 'live', 'cancer', 'also', 'let', 'live', 'cancer', 'years', 'old', 'came', 'hospital', 'igloo', 'ice', 'packs', 'next', 'day', 'driving', 'hour', 'half', 'donated', 'shots', 'ever', 'needed', 'shots', 'came', 'cold', 'box', 'refridgerated', 'times', 'safety', 'seal', 'drs', 'break', 'seals', 'sitting', 'fridge', 'mos', 'chemo', 'something', 'give', 'back', 'help', 'others', 'lucky', 'enough', 'get', 'shots', 'free', 'wanted', 'help', 'others', 'fight', 'girl', 'got']","['shot', 'blood', 'cell', 'shot', 'medical', 'never', 'though', 'nurs', 'told', 'day', 'last', 'chemo', 'people', 'shot', 'really', 'needed', 'since', 'god', 'let', 'live', 'cancer', 'also', 'let', 'live', 'cancer', 'year', 'old', 'came', 'hospital', 'next', 'day', 'hour', 'half', 'ever', 'needed', 'shot', 'time', 'break', 'chemo', 'something', 'give', 'back', 'help', 'other', 'lucky', 'enough', 'get', 'shot', 'free', 'wanted', 'help', 'other', 'fight', 'girl', 'got']",shot blood cell shot medical never though nurs told day last chemo people shot really needed since god let live cancer also let live cancer year old came hospital next day hour half ever needed shot time break chemo something give back help other lucky enough get shot free wanted help other fight girl got,1
1 john 4 4 god little children overcome greater world,"['john', 'god', 'little', 'children', 'overcome', 'greater', 'world']","['god', 'children', 'overcome', 'world']",god children overcome world,1
yes taste saline nasty remember port line thought grosses lol god bless,"['yes', 'taste', 'saline', 'nasty', 'remember', 'port', 'line', 'thought', 'grosses', 'lol', 'god', 'bless']","['tast', 'salin', 'nasty', 'remember', 'port', 'line', 'thought', 'lol', 'god', 'bles']",tast salin nasty remember port line thought lol god bles,1
blessings,['blessings'],['blessing'],blessing,1
brave god bless,"['brave', 'god', 'bless']","['brave', 'god', 'bles']",brave god bles,3
well treatment kill,"['well', 'treatment', 'kill']","['well', 'treatment', 'kill']",well treatment kill,1
got flatlined twice complicated pancreas cancer surgery dead 30 minutes hope ok,"['got', 'flatlined', 'twice', 'complicated', 'pancreas', 'cancer', 'surgery', 'dead', '30', 'minutes', 'hope', 'ok']","['got', 'cancer', 'surgery', 'dead', 'minute', 'hope']",got cancer surgery dead minute hope,0
deus abençõe,"['deus', 'abençõe']",['deu'],deu,1
wow thanks sharing experience hope ok may god continues blessings life,"['wow', 'thanks', 'sharing', 'experience', 'hope', 'ok', 'may', 'god', 'continues', 'blessings', 'life']","['wow', 'thank', 'sharing', 'experience', 'hop', 'may', 'god', 'blessing', 'lif']",wow thank sharing experience hop may god blessing lif,1
ivermectin try god bless,"['ivermectin', 'try', 'god', 'bless']","['ivermectin', 'try', 'god', 'bles']",ivermectin try god bles,1
thanks dr harry herbs got youtube using time treatment help get rid cancer herbs medicine got great meet dr harry herbs youtube keep great work lord god giving save life,"['thanks', 'dr', 'harry', 'herbs', 'got', 'youtube', 'using', 'time', 'treatment', 'help', 'get', 'rid', 'cancer', 'herbs', 'medicine', 'got', 'great', 'meet', 'dr', 'harry', 'herbs', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']","['thank', 'harry', 'herb', 'got', 'youtube', 'using', 'time', 'treatment', 'help', 'get', 'rid', 'cancer', 'herb', 'medicin', 'got', 'great', 'meet', 'harry', 'herb', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'sav', 'lif']",thank harry herb got youtube using time treatment help get rid cancer herb medicin got great meet harry herb youtube keep great work lord god giving sav lif,3
give review dr harry herbs youtube using herbs medicine cure cancer thank god free cure live normal life thank much dr harry herbs youtube,"['give', 'review', 'dr', 'harry', 'herbs', 'youtube', 'using', 'herbs', 'medicine', 'cure', 'cancer', 'thank', 'god', 'free', 'cure', 'live', 'normal', 'life', 'thank', 'much', 'dr', 'harry', 'herbs', 'youtube']","['giv', 'harry', 'herb', 'youtube', 'using', 'herb', 'medicin', 'cure', 'cancer', 'thank', 'god', 'cure', 'live', 'normal', 'life', 'thank', 'much', 'harry', 'herb', 'youtube']",giv harry herb youtube using herb medicin cure cancer thank god cure live normal life thank much harry herb youtube,2
god bless u,"['god', 'bless']","['god', 'bles']",god bles,1
keep fighting amazing,"['keep', 'fighting', 'amazing']","['keep', 'fighting', 'amazing']",keep fighting amazing,2
56 yrs old last year started feel pain left breast doctor told mastitis breast infection prescribed antibiotic steroids tab make face like moon face 2 weeks stop face gets thicker bigger year summer 2022 pain back small lump left side nipple got quick biopsy got results shes telling maybe cancer referred much bigger hospital scheduled coming october 13 maybe another check lnow really eeous praying,"['56', 'yrs', 'old', 'last', 'year', 'started', 'feel', 'pain', 'left', 'breast', 'doctor', 'told', 'mastitis', 'breast', 'infection', 'prescribed', 'antibiotic', 'steroids', 'tab', 'make', 'face', 'like', 'moon', 'face', 'weeks', 'stop', 'face', 'gets', 'thicker', 'bigger', 'year', 'summer', '2022', 'pain', 'back', 'small', 'lump', 'left', 'side', 'nipple', 'got', 'quick', 'biopsy', 'got', 'results', 'shes', 'telling', 'maybe', 'cancer', 'referred', 'much', 'bigger', 'hospital', 'scheduled', 'coming', 'october', '13', 'maybe', 'another', 'check', 'lnow', 'really', 'eeous', 'praying']","['old', 'last', 'year', 'started', 'feel', 'pain', 'left', 'breast', 'doctor', 'told', 'breast', 'infection', 'steroid', 'mak', 'face', 'like', 'face', 'weeks', 'stop', 'face', 'get', 'year', '2022', 'pain', 'back', 'small', 'left', 'sid', 'got', 'quick', 'got', 'result', 'mayb', 'cancer', 'much', 'hospital', 'coming', 'another', 'check', 'really', 'praying']",old last year started feel pain left breast doctor told breast infection steroid mak face like face weeks stop face get year 2022 pain back small left sid got quick got result mayb cancer much hospital coming another check really praying,1
pray lord jesus christ see pray hold hands delivers storm jesus name amen hang everything going please saved repent sins make heaven one day given life jesus christ cancer kidney failure diabetes high blood pressure disease suffering jesus christ come saints raptured soon come board except jesus way sicknesses disease see today see one day glory god wipe us accept jesus lord savior confessed sins god love jesus walk tell made commitment accepted sorry going breast cancer type cancer type problems one saw storm jesus christ love giving family give back went dialysis kidney transplant thyroid removed jesus side one day scars see today disappear glory god pray see please accept late heaven real hell also real spend eternity choose heaven savior jesus christ,"['pray', 'lord', 'jesus', 'christ', 'see', 'pray', 'hold', 'hands', 'delivers', 'storm', 'jesus', 'name', 'amen', 'hang', 'everything', 'going', 'please', 'saved', 'repent', 'sins', 'make', 'heaven', 'one', 'day', 'given', 'life', 'jesus', 'christ', 'cancer', 'kidney', 'failure', 'diabetes', 'high', 'blood', 'pressure', 'disease', 'suffering', 'jesus', 'christ', 'come', 'saints', 'raptured', 'soon', 'come', 'board', 'except', 'jesus', 'way', 'sicknesses', 'disease', 'see', 'today', 'see', 'one', 'day', 'glory', 'god', 'wipe', 'us', 'accept', 'jesus', 'lord', 'savior', 'confessed', 'sins', 'god', 'love', 'jesus', 'walk', 'tell', 'made', 'commitment', 'accepted', 'sorry', 'going', 'breast', 'cancer', 'type', 'cancer', 'type', 'problems', 'one', 'saw', 'storm', 'jesus', 'christ', 'love', 'giving', 'family', 'give', 'back', 'went', 'dialysis', 'kidney', 'transplant', 'thyroid', 'removed', 'jesus', 'side', 'one', 'day', 'scars', 'see', 'today', 'disappear', 'glory', 'god', 'pray', 'see', 'please', 'accept', 'late', 'heaven', 'real', 'hell', 'also', 'real', 'spend', 'eternity', 'choose', 'heaven', 'savior', 'jesus', 'christ']","['pray', 'lord', 'jesu', 'christ', 'see', 'pray', 'hold', 'hand', 'jesu', 'name', 'amen', 'hang', 'everything', 'going', 'please', 'saved', 'sin', 'mak', 'heaven', 'one', 'day', 'given', 'life', 'jesu', 'christ', 'cancer', 'high', 'blood', 'disease', 'suffering', 'jesu', 'christ', 'come', 'soon', 'com', 'jesu', 'way', 'disease', 'see', 'today', 'see', 'one', 'day', 'god', 'accept', 'jesu', 'lord', 'sin', 'god', 'lover', 'jesu', 'walk', 'tell', 'made', 'sorry', 'going', 'breast', 'cancer', 'type', 'cancer', 'typ', 'problem', 'one', 'saw', 'jesu', 'christ', 'lover', 'giving', 'family', 'giv', 'back', 'went', 'transpler', 'removed', 'jesu', 'sid', 'one', 'day', 'today', 'god', 'pray', 'see', 'please', 'accept', 'late', 'heaven', 'real', 'also', 'real', 'heaven', 'jesu', 'christ']",pray lord jesu christ see pray hold hand jesu name amen hang everything going please saved sin mak heaven one day given life jesu christ cancer high blood disease suffering jesu christ come soon com jesu way disease see today see one day god accept jesu lord sin god lover jesu walk tell made sorry going breast cancer type cancer typ problem one saw jesu christ lover giving family giv back went transpler removed jesu sid one day today god pray see please accept late heaven real also real heaven jesu christ,1
praying,['praying'],['praying'],praying,1
stage 2 breast cancer 2013 6 chemotherapy infusions 32 days radiation thankful god still wish one thank god remission since 2014,"['stage', 'breast', 'cancer', '2013', 'chemotherapy', 'infusions', '32', 'days', 'radiation', 'thankful', 'god', 'still', 'wish', 'one', 'thank', 'god', 'remission', 'since', '2014']","['stage', 'breast', 'cancer', 'chemotherapy', 'infusion', 'day', 'radiation', 'god', 'still', 'wish', 'one', 'thank', 'god', 'remission', 'since']",stage breast cancer chemotherapy infusion day radiation god still wish one thank god remission since,1
fighting ovarian cancer still 7 septembers layer still typing mentality important always remember yoga mindfulness think imp chemo,"['fighting', 'ovarian', 'cancer', 'still', 'septembers', 'layer', 'still', 'typing', 'mentality', 'important', 'always', 'remember', 'yoga', 'mindfulness', 'think', 'imp', 'chemo']","['fighting', 'cancer', 'still', 'still', 'important', 'always', 'remember', 'think', 'chemo']",fighting cancer still still important always remember think chemo,2
praying guys,"['praying', 'guys']","['praying', 'guy']",praying guy,1
check kris beat cancer,"['check', 'kris', 'beat', 'cancer']","['check', 'beat', 'cancer']",check beat cancer,1
7yrs cervical cancer survivor alhamdulillah,"['7yrs', 'cervical', 'cancer', 'survivor', 'alhamdulillah']","['cancer', 'survivor']",cancer survivor,1
god bless strong,"['god', 'bless', 'strong']","['god', 'bles', 'strong']",god bles strong,2
